fecha,agente,cat,componente,de_hrs,a_hrs,causa
2005-09-08,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-07,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-07,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-07,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-07,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-07,TDE,T,COR - VHE115,01:05,02:25,Cambio de borneras de los PTs en barra de 115 Kv de C. Corani
2005-09-07,TDE,T,COR - SIS115,01:12,02:20,Cambio de borneras de los PTs en barra de 115 Kv de C. Corani
2005-09-06,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-06,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-06,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ01,00:00,05:46,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ02,00:00,05:47,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ03,00:00,05:52,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ05,00:00,05:54,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ06,00:00,06:01,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ01,08:37,15:59,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ02,08:34,16:00,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ03,08:32,16:02,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ05,08:29,16:03,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ06,08:28,16:05,Limitaciones en el suministro de gas
2005-09-06,EGSA,G,ARJ06,19:54,24:00,Limitaciones en el suministro de gas
2005-09-05,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-05,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-05,VHE,G,VHE03,02:09,05:46,Limitaciones en el suministro de gas
2005-09-05,VHE,G,VHE04,00:00,17:18,Limitaciones en el suministro de gas
2005-09-05,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-05,EGSA,G,ARJ01,00:00,18:39,Limitaciones en el suministro de gas
2005-09-05,EGSA,G,ARJ01,21:20,24:00,Limitaciones en el suministro de gas
2005-09-05,EGSA,G,ARJ02,00:00,18:47,Limitaciones en el suministro de gas
2005-09-05,EGSA,G,ARJ02,20:32,24:00,Limitaciones en el suministro de gas
2005-09-05,EGSA,G,ARJ03,00:00,24:00,Limitaciones en el suministro de gas
2005-09-05,EGSA,G,ARJ05,00:00,24:00,Limitaciones en el suministro de gas
2005-09-05,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,VHE,G,VHE04,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,COBEE,G,KEN01,00:00,14:04,Limitaciones en el suministro de gas
2005-09-04,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,EGSA,G,ARJ01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,EGSA,G,ARJ02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,EGSA,G,ARJ03,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,EGSA,G,ARJ05,00:00,24:00,Limitaciones en el suministro de gas
2005-09-04,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,VHE,G,VHE01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,VHE,G,VHE02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,VHE,G,VHE04,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,COBEE,G,KEN01,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,COBEE,G,KEN02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,EGSA,G,ARJ01,00:00,18:57,Limitaciones en el suministro de gas
2005-09-03,EGSA,G,ARJ02,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,EGSA,G,ARJ03,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,EGSA,G,ARJ05,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,EGSA,G,ARJ06,00:00,24:00,Limitaciones en el suministro de gas
2005-09-03,COBEE,G,ARJ01,21:12,24:00,Limitaciones en el suministro de gas
